Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
KC409280.1,Norovirus Hu/GII/20217/2009/VNM,GenBank,set:KC409280,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-10-20
KX697027.1,Influenza A virus (A/Calicut/MCVRAA2095/2013(H3N2)),GenBank,set:fe28adcc2803fe1d412d9a9d4f2a0b7e042c7022,"Jagadesh,A., Salam,A.A.A., Zadeh,V.R., Krishnan,A., Arunkumar,G.","Manipal University, Manipal Centre for Virus Research",India,2016-09-11,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2013-05-29
MT732483.1,Mumps virus genotype A,GenBank,,"Zhou,D., Zhu,M.Y., Wang,Y.L., Hao,X.Q., Zhou,D.M., Liu,R.X., Zhang,C.D., Qu,C.F., Zhao,Z.Y., Zhao,Z.","The Children's Hospital, Zhejiang University School of Medicine, Child health",China,2020-07-15,,Orthorubulavirus parotitidis,15384,complete,China,,Homo sapiens,,
MK059756.1,Human lung-associated brisavirus MD,GenBank,set:MK059756,"Taylor,L.J., Abbas,A.A., Collman,R.G., Bushman,F.D.","Perelman School of Medicine, University of Pennsylvania, Microbiology",USA,2019-04-27,,Brisavirus,3050,complete,,,Homo sapiens,,
NC_044932.1,Norovirus GII,RefSeq,GCF_008711635.1,"Tohma,K., Saito,M., Mayta,H., Zimic,M., Lepore,C.J., Ford-Siltz,L.A., Gilman,R.H., Parra,G.I.","National Center for Biotechnology Information, NIH",USA,2019-09-27,Hu/GII.PNA4-GII.NA4/PNV06929/2008/PER,Norwalk virus,7525,complete,Peru,,Homo sapiens,feces,2008-05-27
MW888848.1,Aura virus,GenBank,,"Khoroshavin,Y.A., Mikryukova,T.P., Protopopova,E.V., Ternovoi,V.A., Shvalov,A.N., Tregubchak,T.A.T.V., Loktev,V.B.","State Research Center of Virology and Biotechnology ""VECTOR"", Department of Molecular Virology of Flaviviruses and Hepatitis",Russia,2022-09-04,,Alphavirus aura,11847,complete,Brazil,,Homo sapiens,,1965
OL638422.1,rhinovirus A23,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2022-01-04,AMNBR6,Rhinovirus A,7008,complete,USA,,Homo sapiens,,2021
ON729339.1,rhinovirus A101,GenBank,,"Sereewit,J., Xie,H., Greninger,A.","UW Virology, Laboratory Medicine",,2022-07-20,,Rhinovirus A,7124,complete,USA,,Homo sapiens,,2017
MZ629169.1,rhinovirus B101,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2021-08-08,,Rhinovirus B,6924,complete,USA,,Homo sapiens,,2021-06-07
PP756348.1,Coxsackievirus A22,GenBank,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L.","Centre National de Reference Enterovirus et Parechovirus - CHU Clermont ferrand, Virologie",France,2024-05-12,,Enterovirus C,7404,complete,"France: ARA, Clermont-Ferrand",,Homo sapiens,,2015-09-28
KC409292.1,Norovirus Hu/GII/20357/2009/VNM,GenBank,set:KC409292,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-12-29
BK066346.1,Papillomavirus homo7570,GenBank,,"Buck,C.B., Welch,N., Belford,A.K., Varsani,A., Pastrana,D.V., Tisza,M.J., Starrett,G.J.","National Cancer Institute, Lab of Cellular Oncology",USA,2024-04-05,Papilloma7570,Papillomavirus homo7570,7429,complete,,,Homo sapiens,skin,
JX989075.1,Norovirus Hu/GII.6/GZ2010-L96/Guangzhou/CHN/2011,GenBank,set:JX989075,"Xue,L., Wu,Q., Kou,X., Zhang,J., Guo,W.","Guangdong Institute of Microbiology, State Key Laboratory of Applied Microbiology (Ministry-Guangdong Province Jointly Breeding Base), South China, Guangdong Provincial Key Laboratory of Microbial Culture Collection and Application, Guangdong Open Laboratory of Applied Microbiology",China,2013-01-30,Hu/GII.6/GZ2010-L96/Guangzhou/CHN/2011,Norwalk virus,7550,complete,China,,Homo sapiens,feces,2011-01-14
KJ943125.1,Influenza A virus (A/Santiago/p34d7/2013(H3N2)),GenBank,GCA_038696155.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1737,complete,Chile: La Florida,,Homo sapiens,,2013-08-14
JQ624640.1,Influenza A virus (A/Sydney/SB1/2010(H1N1)),GenBank,set:32e4ad560b8d1903badd01875042c1e7ecf2a180,"Wang,B., Dwyer,D.E., Saksena,N.K.","University of Sydney, Westmead Millennium Institute",Australia,2012-03-12,,Alphainfluenzavirus influenzae,1721,complete,Australia,,Homo sapiens,,2010-09-09
JQ431222.1,Influenza A virus (A/Reunion/2956-1-M2E/2009(H1N1)),GenBank,set:18e17f717a6e2059562c012ae6234b2dc895acc7,"Pascalis,H., Temmam,S., Wilkinson,D.A., Dsouli,N., Turpin,M., de Lamballerie,X., Dellagi,K.",CRVOI,France,2012-09-15,,Alphainfluenzavirus influenzae,1701,complete,France: Reunion Island,,Homo sapiens,oronasopharynx,2009-09-04
OP577477.1,Papillomaviridae sp.,GenBank,,"Li,T., Unger,E.R., Rajeevan,M.S.","Centers for Disease Control and Prevention, Chronic Viral Disease Branch",USA,2023-09-12,CDCHPVTL_S18,Papillomaviridae sp.,7360,complete,USA,,Homo sapiens,,2020-04
KF849751.1,Influenza A virus (A/Thailand/SirirajICRC_BKK_1/2010(H1N1)),GenBank,set:22f7154fa79117345418c303f1836db96718fd89,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2010-08-24
KU695614.1,Influenza A virus (A/India/Kol-T16/2015(H1N1)),GenBank,set:5dcc12d22e41d88728c120f93ad0f7c70546fa2c,"Mukherjee,A., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (Niced), Division of Virology, Virology",India,2016-03-05,,Alphainfluenzavirus influenzae,1771,complete,India,,Homo sapiens,,2015-04
KF429761.1,Norovirus Hu/GI.1/8MoIIIL/1972/USA,GenBank,set:KF429761,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kim,M., Bok,K., Sosnovtsev,S.V., Wentworth,D.E., Green,K.Y.",J. Craig Venter Institute,USA,2013-08-14,,Norwalk virus,7623,complete,USA: Maryland,MD,Homo sapiens,,1972-06-21
KF886368.1,Influenza A virus (A/Ontario/033/2012(H1N1)),GenBank,set:18de572f7c937be78dbb1064cbd9dbb0d4ff86ac,"Skowronski,D.M., Janjua,N.Z., De Serres,G., Sabaiduc,S., Eshaghi,A., Dickinson,J.A., Fonseca,K., Winter,A.L., Gubbay,J.B., Krajden,M., Petric,M., Charest,H., Bastien,N., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Li,Y., Winter,A.-L., Gubbay,J.","Public Health Ontario, Molecular Diagnostics",Canada,2013-12-14,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2012-11-19
KX023792.1,Influenza A virus (A/DC/2/2016(H1N1)),GenBank,GCA_038823145.1,"Hain,E.A., Brown,S.H., Weeden,C., Dahourou,G.A., Epie,N.N.","Department of Forensic Sciences, Dc Public Health Laboratory",USA,2016-05-21,,Alphainfluenzavirus influenzae,2316,complete,USA,,Homo sapiens,oronasopharynx,2016-02-23
JQ431199.1,Influenza A virus (A/Reunion/0215-4-M2E/2009(H1N1)),GenBank,set:104ee6192f8b93ba6283ce97e7873ba7ed720fdf,"Pascalis,H., Temmam,S., Wilkinson,D.A., Dsouli,N., Turpin,M., de Lamballerie,X., Dellagi,K.",CRVOI,France,2012-09-15,,Alphainfluenzavirus influenzae,1701,complete,France: Reunion Island,,Homo sapiens,oronasopharynx,2009-09-07
JN400623.1,Norovirus Hu/GII-4/CGMH25/2010/TW,GenBank,set:JN400623,"Tsai,C.N., Lin,C.Y., Lin,C.W., Shih,K.C., Chiu,C.H., Chen,S.Y., Tsai,C.-N., Lin,C.-Y., Lin,C.-W., Shih,K.-C., Chi,H.-C., Chao,H.-C., Lai,M.-W., Yu,T.-H., Chen,S.-Y., Chiu,C.-H.",Graduate Institute of clinical medical sciences,Taiwan,2012-07-08,,Norwalk virus,7509,complete,Taiwan,,Homo sapiens,feces,2010-01-28
MW488018.1,Parechovirus A,GenBank,,"Bialasiewicz,S., Day,R., Tozer,S.","Centre for Child Health Research, Queensland Children's Hospital",Australia,2022-05-01,Q18f-41,Parechovirus A,6759,complete,Australia,,Homo sapiens,feces,2018-03-30
KF886366.1,Influenza A virus (A/Ontario/043/2013(H1N1)),GenBank,set:044a664277fee4bfbcdd9a1015e30281a3aa81b8,"Skowronski,D.M., Janjua,N.Z., De Serres,G., Sabaiduc,S., Eshaghi,A., Dickinson,J.A., Fonseca,K., Winter,A.L., Gubbay,J.B., Krajden,M., Petric,M., Charest,H., Bastien,N., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Li,Y., Winter,A.-L., Gubbay,J.","Public Health Ontario, Molecular Diagnostics",Canada,2013-12-14,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-03-05
KC292284.1,SFTS virus HNXY_93,GenBank,set:3e6ab1348746bc1e83b9b93be7034be96afb1031,"Liu,W., Lu,Q.B., Cui,N., Li,H., Wang,L.Y., Liu,K., Yang,Z.D., Wang,B.J., Wang,H.Y., Zhang,Y.Y., Zhuang,L., Hu,C.Y., Yuan,C., Fan,X.J., Wang,Z., Zhang,L., Zhang,X.A., Walker,D.H., Cao,W.C., Lu,Q.","State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology",China,2013-04-15,,SFTS phlebovirus,1744,complete,"China: Henan, Xinyang",,Homo sapiens,,
NC_025727.1,Torque teno mini virus ALH8,RefSeq,GCF_000929855.1,"Parras-Molto,M., Suarez-Rodriguez,P., Eguia,A., Aguirre-Urizar,J.M., Lopez-Bueno,A.","National Center for Biotechnology Information, NIH",USA,2014-11-26,TTMV-ALH8,Betatorquevirus homini16,2855,complete,Spain,,Homo sapiens,oronasopharynx,2013-09-26
LC209477.1,Norovirus Hu/GII/JP/2013/GII.P16_GII.2/Ehime-6,GenBank,set:LC209477,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7515,complete,Japan: Ehime,,Homo sapiens,feces,2013
KF849783.1,Influenza A virus (A/Thailand/SirirajICRC_BKK_9/2010(H1N1)),GenBank,set:33692ceef3f138b6e436e2280793334ae3d88a8b,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1701,complete,Thailand,,Homo sapiens,oronasopharynx,2010-09-01
KJ623706.2,Influenza A virus (A/Pavia/07/2014(H3N2)),GenBank,GCA_038711535.1,"Piralla,A., Moreno,A., Orlandi,M.E., Percivalle,E., Chiapponi,C., Vezzoli,F., Baldanti,F., Foni,E.","Fondazione IRCCS Policlinico San Matteo, Molecular Virology Unit, Virology and Microbiology Department",Italy,2014-04-19,,Alphainfluenzavirus influenzae,2336,complete,Italy,,Homo sapiens,,2014-01
OP549880.1,Bacteriophage sp.,GenBank,,"Jimoh,A., Balle,C., Brown,B., Feng,C., Havyarimana,E., Konstantinus,I.N., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Happel,A.-U., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2022-10-26,UC074V2_C064,Bacteriophage sp.,15800,complete,South Africa,,Homo sapiens,,2017-01-09
KC409298.1,Norovirus Hu/GII/20448/2010/VNM,GenBank,set:KC409298,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2010-02-24
NC_014089.1,Torque teno mini virus 5,RefSeq,GCF_000888975.1,"Okamoto,H., Nishizawa,T., Tawara,A., Peng,Y., Takahashi,M., Kishimoto,J., Tanaka,T., Miyakawa,Y., Mayumi,M.","National Center for Biotechnology Information, NIH",USA,2010-04-30,TGP96,Betatorquevirus homini5,2908,complete,,,Homo sapiens,,
KX789463.1,Influenza A virus (A/India/Kol-4992/2015(H1N1)),GenBank,set:17af5dbae3f11325dbe314d51586aa42763a538d,"Mukherjee,A., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (Niced), Division of Virology, Virology",India,2016-09-18,,Alphainfluenzavirus influenzae,1745,complete,India,,Homo sapiens,,2015-09-09
MZ820170.1,Human parvovirus 4,GenBank,,"Rasheed,R., Prasad,P., Pattabiraman,C., Desai,A., Ravi,V.","National Institute of Mental Health and Neurosciences, Department of Neurovirology",India,2022-10-01,NIMH/PARVO/NV10S/2018,Tetraparvovirus primate1,5266,complete,India,,Homo sapiens,blood,2018-12-31
HQ141607.1,SFTS virus LN2,GenBank,set:1fddee78e1af6f4cb274aa2297fa6a4bf4aa9200,"Yu,X.J., Liang,M.F., Zhang,S.Y., Liu,Y., Li,J.D., Sun,Y.L., Zhang,L., Zhang,Q.F., Popov,V.L., Li,C., Qu,J., Li,Q., Zhang,Y.P., Hai,R., Wu,W., Wang,Q., Zhan,F.X., Wang,X.J., Kan,B., Wang,S.W., Wan,K.L., Jing,H.Q., Lu,J.X., Yin,W.W., Zhou,H., Guan,X.H., Liu,J.F., Bi,Z.Q., Liu,G.H., Ren,J., Wang,H., Zhao,Z., Song,J.D., He,J.R., Wan,T., Zhang,J.S., Fu,X.P., Sun,L.N., Dong,X.P., Feng,Z.J., Yang,W.Z., Hong,T., Zhang,Y., Walker,D.H., Wang,Y., Li,D.X., Lu,J., Yao,W.Q., Zhuo,Z.","National Institute for Viral Diseases Control and Prevention, Department of Viral Hemorrhagic Fever",China,2011-03-09,,SFTS phlebovirus,6368,complete,China,,Homo sapiens,blood,2010-07-24
JQ943658.1,Influenza B virus (B/Ontario/0006871/2011),GenBank,set:b86f5968b5b680c4690072e7ce15a89343594355,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.","Public Health Ontario, Molecular Diagnostics and Research",Canada,2012-05-16,,Betainfluenzavirus influenzae,1495,complete,Canada,,Homo sapiens,oronasopharynx,2011-04-03
JF429394.1,Influenza A virus (A/Lyon/47.431/2009(H1N1)),GenBank,set:41a651901cf9250d39094d786d742137d80f58c8,"Ottmann,M., Erny,A., Traversier,A., Rivat,N., Lines,L., Sabatier,M., Valette,M., Escuret,V., Bouscambert-Duchamp,M., Caro,V., Barthelemy,M., Casalegno,J.-S., Ferraris,O., Lina,B., Prog-Victoir,E.","Universite Claude Bernard - Lyon 1, Laboratoire de Virologie",France,2011-03-12,,Alphainfluenzavirus influenzae,1701,complete,France,,Homo sapiens,,2009-11-17
JN635407.1,Measles virus strain MVi/Texas.USA/4.07,GenBank,set:JN635407,"Kirkness,E.F., Halpin,R., Bera,J., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Bankamp,B., Byrd,L., Bellini,W., Rota,P.",J. Craig Venter Institute,USA,2011-09-29,,Morbillivirus hominis,15894,complete,USA: Texas,TX,Homo sapiens,,2007
KX078490.1,Influenza A virus (A/India/DRDE_GWL812/2015(H1N1)),GenBank,GCA_038776155.1,"Dash,P.K., Pattabiraman,C., Tandel,K., Sharma,S., Siddappa,S., Kumar,J., Gowda,M., Krishna,S., Parida,M.M.","Defence Research & Development Establishment, Virology Division",India,2017-05-31,,Alphainfluenzavirus influenzae,2280,complete,India: Bhopal,,Homo sapiens,oronasopharynx,2015-03-09
KF886356.1,Influenza A virus (A/Ontario/017/2013(H3N2)),GenBank,set:a245ad82338dccfc1f4e9016eaeacb6fe67b9159,"Skowronski,D.M., Janjua,N.Z., De Serres,G., Sabaiduc,S., Eshaghi,A., Dickinson,J.A., Fonseca,K., Winter,A.L., Gubbay,J.B., Krajden,M., Petric,M., Charest,H., Bastien,N., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Li,Y., Winter,A.-L., Gubbay,J.","Public Health Ontario, Molecular Diagnostics",Canada,2013-12-14,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-01-11
KC175377.1,Norovirus Hu/Norwalk/10238/2009/VNM,GenBank,set:KC175377,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-11-19
MH172379.1,Human papillomavirus type 222,GenBank,set:MH172379,"Murahwa,A.T., Meiring,T.L., Mbulawa,Z.Z.A., Williamson,A.-L.","University of Cape Town, Pathology",South Africa,2018-05-20,CT17,Human papillomavirus type 222,7275,complete,South Africa,,Homo sapiens,,2007
KJ734739.1,Influenza A virus (A/Ontario/C3798-1/2012(H3N2)),GenBank,set:2b40a615280fa394164614d94c254e3ffc19c280,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2012-12-18
MF588698.1,Gammapapillomavirus 7,GenBank,set:MF588698,"Pastrana,D.V., Peretti,A., Welch,N.L., Borgogna,C., Olivero,C., Badolato,R., Notarangelo,L.D., Gariglio,M., FitzGerald,P.C., McIntosh,C.E., Reeves,J., Starrett,G.J., Bliskovsky,V., Velez,D., Brownell,I., Yarchoan,R., Wyvill,K.M., Uldrick,T.S., Maldarelli,F., Lisco,A., Sereti,I., Gonzalez,C.M., Androphy,E.J., McBride,A.A., Van Doorslaer,K., Garcia,F., Dvoretzky,I., Liu,J.S., Han,J., Murphy,P.M., McDermott,D.H., Buck,C.B., McBride,A., Cho,E., Holland,S.M., Freeman,A.F.","National Cancer Institute, Laboratory of Cellular Oncology",USA,2017-11-08,Gamma07_EV03c05,Gammapapillomavirus 7,7319,complete,Italy,,Homo sapiens,skin,2014-05
KF420296.1,Influenza A virus (A/Changsha/1/2013(H7N9)),GenBank,GCA_038683875.1,"Zhang,R.S., Ou,X.H., Yuan,J., Chen,J.F.","Changsha Center for Disease Control and Prevention, Microbial Diagnosis Lab",China,2013-10-10,,Alphainfluenzavirus influenzae,1710,complete,China,,Homo sapiens,oronasopharynx,2013-03-22
KF918656.1,Influenza A virus (A/Shanghai/CN02/2013(H7N9)),GenBank,GCA_038684345.1,"Hu,J., Zhu,Y., Zhao,B., Li,J., Liu,L., Gu,K., Zhang,W., Su,H., Teng,Z., Tang,S., Yuan,Z., Feng,Z., Wu,F., Zhang,X., Gao,Y.","Shanghai Municipal Center for Disease Control and Prevention, Microbiology Lab",China,2014-07-11,,Alphainfluenzavirus influenzae,2280,complete,China,,Homo sapiens,"lung, oronasopharynx",2013-04-02
ON881125.1,rhinovirus C2,GenBank,,"Xie,Z.","Beijing Pediatric Research Institute, Laboratory of Infection and Virology",China,2023-03-25,GY18049,Rhinovirus C,7064,complete,China,,Homo sapiens,oronasopharynx,2018-03-08
HQ695928.1,Influenza A virus (A/Lipetsk/14/2002(H3N2)),GenBank,set:51bd5c6898b7d52c425872753daf9ab555f5ea59,"Mohr,P.G., Geyer,H., McKimm-Breschkin,J.L.","CSIRO, Australian Animal Health Laboratory",Australia,2011-05-09,,Alphainfluenzavirus influenzae,1410,complete,Russia,,Homo sapiens,,2002
PV666603.1,Japanese encephalitis virus,GenBank,,"Eden,J.-S., Neave,M.J., Smith,C.S., Batovska,J., Mileto,P., Caly,L., Kim,K., Breed,A.C., Bhardwaj,V., Van Den Hurk,A.F., Jansen,C.C., Doggett,S., Webb,C., Toi,C., Holmes,E.C., Mackenzie,J.S., Dwyer,D.E., Tuckett,G., Richards,K., Kirkland,P.D., Lynch,S.E., Kok,J., Williams,D.T.","The University of Sydney, Sydney Institute for Infectious Diseases",Australia,2025-05-27,,Orthoflavivirus japonicum,10771,complete,Australia,,Homo sapiens,,2022-03
KC409250.1,Norovirus Hu/GII/20144/2009/VNM,GenBank,set:KC409250,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-09-09
KC292297.1,SFTS virus HNXY_182,GenBank,set:41296bbf30a67c83ae501a4d91a239886993d437,"Liu,W., Lu,Q.B., Cui,N., Li,H., Wang,L.Y., Liu,K., Yang,Z.D., Wang,B.J., Wang,H.Y., Zhang,Y.Y., Zhuang,L., Hu,C.Y., Yuan,C., Fan,X.J., Wang,Z., Zhang,L., Zhang,X.A., Walker,D.H., Cao,W.C., Lu,Q.","State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology",China,2013-04-15,,SFTS phlebovirus,1744,complete,"China: Henan, Xinyang",,Homo sapiens,,
BK066363.1,Papillomavirus homo7334,GenBank,,"Buck,C.B., Welch,N., Belford,A.K., Varsani,A., Pastrana,D.V., Tisza,M.J., Starrett,G.J.","National Cancer Institute, Lab of Cellular Oncology",USA,2024-04-05,Papilloma7334,Papillomavirus homo7334,7193,complete,,,Homo sapiens,feces,
KF551093.1,Influenza A virus (A/Ontario/023/2012(H1N1)),GenBank,set:cfd78d2f9cacfb84e0a5d917c89d193f270cba3d,"Skowronski,D.M., Janjua,N.Z., Sabaiduc,S., De Serres,G., Winter,A.L., Gubbay,J.B., Dickinson,J.A., Fonseca,K., Charest,H., Bastien,N., Li,Y., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Krajden,M., Petric,M., Eshaghi,A., Rosenfeld,P., Li,A., Olsha,R.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2013-09-21,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2012-03-13
KC409288.1,Norovirus Hu/GII/20276/2009/VNM,GenBank,set:KC409288,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-11-17
KU695612.1,Influenza A virus (A/India/Kol-T8/2015(H1N1)),GenBank,set:d18bd22ac0c20a360263c50f0039b21c8b936144,"Mukherjee,A., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (Niced), Division of Virology, Virology",India,2016-03-05,,Alphainfluenzavirus influenzae,1745,complete,India,,Homo sapiens,,2015-04
MW535770.1,Human papillomavirus type 229,GenBank,,"Li,T., Unger,E., Rajeevan,M.","Centers for Disease Control and Prevention, Chronic Viral Disease Branch",USA,2022-05-15,TLS28,Human papillomavirus type 229,7319,complete,USA,,Homo sapiens,,2010
HG994852.1,Severe acute respiratory syndrome-related coronavirus,GenBank,,"Di Maggio,F., Colonna,V., Salvatore,F., Damaggio,G.","CEINGE - BIOTECNOLOGIE AVANZATE, Francesco Salvatore, via Gaetano Salvatore 486, Napoli",Italy,2021-03-05,H_SC_01,Severe acute respiratory syndrome-related coronavirus,29900,complete,Italy,,Homo sapiens,,2020-07
KC478996.1,Influenza B virus (B/Ontario/0020252/2012),GenBank,set:b0d896ae6b752bb4a916c7ed2b3a3cdb2f09df3d,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.","Public Health Ontario, Molecular Diagnostics and Research",Canada,2013-02-20,,Betainfluenzavirus influenzae,1490,complete,Canada,,Homo sapiens,oronasopharynx,2012-02-09
OP971015.1,human papillomavirus 226,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC084_LW_V2,human papillomavirus 226,7318,complete,South Africa,,Homo sapiens,,2016-12-21
